category,benchmark,status,error,test_coverage,fault_coverage,atpg_effectiveness,patterns,runtime_sec,detected_faults,undetected_faults,total_faults,report,patterns_file,stil_file
dirL11,fftmain,failed,returncode=0; stderr_has_error=True; has_metrics=False,,,,,,,,,FTL/04_Phase4_ATPG/results/dirL11/fftmain/fftmain.rpt,FTL/04_Phase4_ATPG/results/dirL11/fftmain/fftmain.pat,FTL/04_Phase4_ATPG/results/dirL11/fftmain/fftmain.stil
dirL11,filter,ok,,99.99,99.39,99.99,135,1.776e+09,166891,0,167916,FTL/04_Phase4_ATPG/results/dirL11/filter/filter.rpt,FTL/04_Phase4_ATPG/results/dirL11/filter/filter.pat,FTL/04_Phase4_ATPG/results/dirL11/filter/filter.stil
dirL11,fpu_mul,failed,returncode=0; stderr_has_error=True; has_metrics=False,,,,,,,,,FTL/04_Phase4_ATPG/results/dirL11/fpu_mul/fpu_mul.rpt,FTL/04_Phase4_ATPG/results/dirL11/fpu_mul/fpu_mul.pat,FTL/04_Phase4_ATPG/results/dirL11/fpu_mul/fpu_mul.stil
dirL11,multiplier,ok,,99.99,98.47,99.99,90,1.776e+09,57700,0,58598,FTL/04_Phase4_ATPG/results/dirL11/multiplier/multiplier.rpt,FTL/04_Phase4_ATPG/results/dirL11/multiplier/multiplier.pat,FTL/04_Phase4_ATPG/results/dirL11/multiplier/multiplier.stil
dirL11,s13207,failed,returncode=0; stderr_has_error=True; has_metrics=False,,,,,,,,,FTL/04_Phase4_ATPG/results/dirL11/s13207/s13207.rpt,FTL/04_Phase4_ATPG/results/dirL11/s13207/s13207.pat,FTL/04_Phase4_ATPG/results/dirL11/s13207/s13207.stil
dirL11,s15850,failed,returncode=0; stderr_has_error=True; has_metrics=False,,,,,,,,,FTL/04_Phase4_ATPG/results/dirL11/s15850/s15850.rpt,FTL/04_Phase4_ATPG/results/dirL11/s15850/s15850.pat,FTL/04_Phase4_ATPG/results/dirL11/s15850/s15850.stil
dirL11,s208,ok,,100,100,100,28,1.776e+09,488,0,488,FTL/04_Phase4_ATPG/results/dirL11/s208/s208.rpt,FTL/04_Phase4_ATPG/results/dirL11/s208/s208.pat,FTL/04_Phase4_ATPG/results/dirL11/s208/s208.stil
dirL11,s35932,ok,,100,100,100,15,1.776e+09,49368,0,49368,FTL/04_Phase4_ATPG/results/dirL11/s35932/s35932.rpt,FTL/04_Phase4_ATPG/results/dirL11/s35932/s35932.pat,FTL/04_Phase4_ATPG/results/dirL11/s35932/s35932.stil
dirL11,s38417,ok,,100,100,100,94,1.776e+09,65228,0,65228,FTL/04_Phase4_ATPG/results/dirL11/s38417/s38417.rpt,FTL/04_Phase4_ATPG/results/dirL11/s38417/s38417.pat,FTL/04_Phase4_ATPG/results/dirL11/s38417/s38417.stil
dirL11,s38584,failed,returncode=0; stderr_has_error=True; has_metrics=False,,,,,,,,,FTL/04_Phase4_ATPG/results/dirL11/s38584/s38584.rpt,FTL/04_Phase4_ATPG/results/dirL11/s38584/s38584.pat,FTL/04_Phase4_ATPG/results/dirL11/s38584/s38584.stil
dirL11,s5378,failed,returncode=0; stderr_has_error=True; has_metrics=False,,,,,,,,,FTL/04_Phase4_ATPG/results/dirL11/s5378/s5378.rpt,FTL/04_Phase4_ATPG/results/dirL11/s5378/s5378.pat,FTL/04_Phase4_ATPG/results/dirL11/s5378/s5378.stil
dirL11,s9234,failed,returncode=0; stderr_has_error=True; has_metrics=False,,,,,,,,,FTL/04_Phase4_ATPG/results/dirL11/s9234/s9234.rpt,FTL/04_Phase4_ATPG/results/dirL11/s9234/s9234.pat,FTL/04_Phase4_ATPG/results/dirL11/s9234/s9234.stil
dirL11,sha512,failed,returncode=0; stderr_has_error=True; has_metrics=False,,,,,,,,,FTL/04_Phase4_ATPG/results/dirL11/sha512/sha512.rpt,FTL/04_Phase4_ATPG/results/dirL11/sha512/sha512.pat,FTL/04_Phase4_ATPG/results/dirL11/sha512/sha512.stil
